what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347906657359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347906657937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347906659062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347906659796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347906671125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347906671656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906675312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906695531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347906699437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906704718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906706625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906709609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906710343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906710687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906712578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906715156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906715828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906716109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906718921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906721234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906723078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906723968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906730875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906742421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906743171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906750937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906751656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906751921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906754468
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1347906770281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906773500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906773718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347906810234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347906810859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347906825640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347906826515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347906830187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906840734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906843234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906846625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906857562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906870562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906873203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906874234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906876390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906904046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906909734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906923656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906924906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347906979421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347906980593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906985765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347906986750
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1347906992718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347907001453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347907001765
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1347907010609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347907061515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347907063609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347907065625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347907070859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347907073828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347907092187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347907114250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347907114906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347907117453
